client_size;server_size;filter_size;L;k;w;avg_fp;avg_fn;status;log
50;5000;166000;20;15;2500;0.08;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_50_server_5000_filter_166000_lkw_20_15_2500.log
100;5000;166000;20;15;2500;0.16;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_100_server_5000_filter_166000_lkw_20_15_2500.log
150;5000;166000;20;15;2500;0.2;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_150_server_5000_filter_166000_lkw_20_15_2500.log
200;5000;166000;20;15;2500;0.11;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_200_server_5000_filter_166000_lkw_20_15_2500.log
250;5000;166000;20;15;2500;0.136;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_250_server_5000_filter_166000_lkw_20_15_2500.log
300;5000;166000;20;15;2500;0.113333;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_300_server_5000_filter_166000_lkw_20_15_2500.log
350;5000;166000;20;15;2500;0.148571;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_350_server_5000_filter_166000_lkw_20_15_2500.log
400;5000;166000;20;15;2500;0.145;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_400_server_5000_filter_166000_lkw_20_15_2500.log
450;5000;166000;20;15;2500;0.142222;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_450_server_5000_filter_166000_lkw_20_15_2500.log
500;5000;166000;20;15;2500;0.144;0;selected;results/cuckoo_client_sweep_FashionMNIST_server_5139_20260623_122308/calibration/calibration_client_500_server_5000_filter_166000_lkw_20_15_2500.log
